LOCATION1,LOCATION2,LAT1,LNG1,LAT2,LNG2
"SantaCruz, Mumbai","Churchgate, Mumbai",19.0825552,72.84176269999999,18.9322453,72.8264378
"Khada Parsi, Mumbai","Saat rasta, Mumbai",18.9716,72.8324354,18.9813062,72.8264564
"Bandra , Mumbai","Goregaon, Mumbai",19.0606917,72.8362497,19.1551485,72.8678551
"borivali , Mumbai","Andheri, Mumbai",19.2371877,72.8441358,19.1171389,72.846563
"Mumbai , Mumbai","Borivali, Mumbai",19.0176169,72.8561288,19.2371877,72.8441358
"Malad , Mumbai","Andheri, Mumbai",19.1867884,72.8488709,19.1171389,72.846563
"Lokmanya Terminus, Mumbai","Borivali, Mumbai",19.0696994,72.8916079,19.2371877,72.8441358
"Andheri west, Mumbai","Goregaon, Mumbai",19.1363246,72.82766,19.1551485,72.8678551
"Belapur Bridge, Mumbai","Kharghar, Mumbai",19.0026903,73.0323487,19.0473216,73.0699046
"Goregaon , Mumbai","Bandra , Mumbai",19.1551485,72.8678551,19.0606917,72.8362497
"Colaba , Mumbai","Bandra, Mumbai",18.9067031,72.8147123,19.0606917,72.8362497
"Malad , Mumbai","andheri, Mumbai",19.1867884,72.8488709,19.1171389,72.846563
"Vashi flyover, Mumbai","Mumbai, Mumbai",19.0685919,72.9976642,19.0176169,72.8561288
"andheri highway, Mumbai","Bandra, Mumbai",19.1036418,72.8531521,19.0606917,72.8362497
"Wadala, Mumbai","Barkat Ali, Mumbai",19.0151285,72.8580644,19.018224,72.866535
"Gokul Nagar , Mumbai","Thane, Mumbai",19.1931373,72.8729633,19.0759837,72.8776559
"Jogeshwari , Mumbai","andheri, Mumbai",19.1405116,72.8421555,19.1171389,72.846563
"Bandra , Mumbai","Kandivali, Mumbai",19.0606917,72.8362497,19.2045159,72.8520095
"Mahalaxmi Station, Mumbai","Peddar Road, Mumbai",18.9823656,72.8239451,18.9682454,72.80734989999999
"vashi highway, Mumbai","airoli, Mumbai",19.0685012,72.9966027,19.157935,72.9934762
"Worli , Mumbai","Lokhandwala, Mumbai",18.9872015,72.8290456,18.957047,72.827823
"Kanjur marg , Mumbai","Mulund, Mumbai",19.1282039,72.928065,19.1565109,72.9637728
"Joheshwari , Mumbai","Santa Cruz, Mumbai",19.1405116,72.8421555,19.084364,72.835973
"Mira Road, Mumbai","Borivali, Mumbai",19.2797513,72.8561635,19.2371877,72.8441358
"Bandra , Mumbai","JVLR, Mumbai",19.0606917,72.8362497,19.1247111,72.8957516
"Kharghar, Mumbai","Juhu, Mumbai",19.0473216,73.0699046,19.098821,72.8320717
"Dharavi , Mumbai","Sion, Mumbai",19.0402084,72.8508504,19.0390214,72.86189519999999
"Worli Sea Face , Mumbai","Aarey Flyover, Mumbai",19.0091432,72.8157283,19.1653208,72.858337
"Juhu , Mumbai","WEH, Mumbai",19.098821,72.8320717,19.0759837,72.8776559
"Kalina , Mumbai","Andheri, Mumbai",19.076277,72.8653997,19.1171389,72.846563
"kalina flyover, Mumbai","airport, Mumbai",19.0738862,72.87998759999999,19.0901765,72.8687391
"Vashi , Mumbai","Worli, Mumbai",19.0770644,72.9989925,18.9872015,72.8290456
"Ghatkopar , Mumbai","Mumbai, Mumbai",19.0856491,72.9082207,19.0176169,72.8561288
"Andheri , Mumbai","Borivali, Mumbai",19.1171389,72.846563,19.2371877,72.8441358
"Airoli, Mumbai","Thane-Belapur road , Mumbai",19.157935,72.9934762,19.1425582,73.0120312
"andheri , Mumbai","kandivali, Mumbai",19.1171389,72.846563,19.2045159,72.8520095
