LOCATION1,LOCATION2,LAT1,LNG1,LAT2,LNG2,LAT1_NEAR,LNG1_NEAR,LAT2_NEAR,LNG2_NEAR
"SantaCruz, Mumbai","Churchgate, Mumbai",19.0825552,72.8417627,18.9322453,72.8264378,19.083041,72.840814,18.933741,72.827707
"Khada Parsi, Mumbai","Saat rasta, Mumbai",18.9716,72.8324354,18.9813062,72.8264564,18.96984,72.834609,18.979751,72.831168
"Bandra , Mumbai","Goregaon, Mumbai",19.0606917,72.8362497,19.1551485,72.8678551,19.059348,72.833521,19.151824,72.871753
"borivali , Mumbai","Andheri, Mumbai",19.2371877,72.8441358,19.1171389,72.846563,19.241261,72.84643,19.114485,72.84749
"Mumbai , Mumbai","Borivali, Mumbai",19.0176169,72.8561288,19.2371877,72.8441358,19.014153,72.852038,19.241261,72.84643
"Malad , Mumbai","Andheri, Mumbai",19.1867884,72.8488709,19.1171389,72.846563,19.188709,72.846419,19.114485,72.84749
"Lokmanya Terminus, Mumbai","Borivali, Mumbai",19.0696994,72.8916079,19.2371877,72.8441358,19.066483,72.893945,19.241261,72.84643
"Andheri west, Mumbai","Goregaon, Mumbai",19.1363246,72.82766,19.1551485,72.8678551,19.134147,72.825755,19.151824,72.871753
"Belapur Bridge, Mumbai","Kharghar, Mumbai",19.0026903,73.0323487,19.0473216,73.0699046,18.998524,73.035257,19.043458,73.067571
"Goregaon , Mumbai","Bandra , Mumbai",19.1551485,72.8678551,19.0606917,72.8362497,19.151824,72.871753,19.059348,72.833521
"Colaba , Mumbai","Bandra, Mumbai",18.9067031,72.8147123,19.0606917,72.8362497,18.909984,72.813267,19.059348,72.833521
"Malad , Mumbai","andheri, Mumbai",19.1867884,72.8488709,19.1171389,72.846563,19.188709,72.846419,19.114485,72.84749
"Vashi flyover, Mumbai","Mumbai, Mumbai",19.0685919,72.9976642,19.0176169,72.8561288,19.070884,72.997574,19.014153,72.852038
"andheri highway, Mumbai","Bandra, Mumbai",19.1036418,72.8531521,19.0606917,72.8362497,19.103449,72.85027,19.059348,72.833521
"Wadala, Mumbai","Barkat Ali, Mumbai",19.0151285,72.8580644,19.018224,72.866535,19.013655,72.855231,19.015016,72.863624
"Gokul Nagar , Mumbai","Thane, Mumbai",19.1931373,72.8729633,19.0759837,72.8776559,19.194576,72.872567,19.075357,72.878716
"Jogeshwari , Mumbai","andheri, Mumbai",19.1405116,72.8421555,19.1171389,72.846563,19.143995,72.841998,19.114485,72.84749
"Bandra , Mumbai","Kandivali, Mumbai",19.0606917,72.8362497,19.2045159,72.8520095,19.059348,72.833521,19.20041,72.848866
"Mahalaxmi Station, Mumbai","Peddar Road, Mumbai",18.9823656,72.8239451,18.9682454,72.8073499,18.978454,72.827067,18.964068,72.808221
