SER,Distance,Speed,TIME
1,0.236,23.7522113022113,0
1,0.236,22.95377512557295,1
1,0.236,23.020810661182175,2
1,0.236,23.437413884472708,3
1,0.236,23.076831560686376,4
1,0.236,23.67644722147948,5
1,0.236,22.54346793977417,6
1,0.236,23.540643047739824,7
1,0.236,23.013052694105323,8
1,0.236,20.337670761434733,9
1,0.236,19.694458946514153,10
1,0.236,19.643538830990217,11
1,0.236,19.67192656331394,12
1,0.236,20.034067155288334,13
1,0.236,20.102507617691206,14
1,0.236,19.905573401423144,15
1,0.236,18.98211656269351,16
1,0.236,18.98609913112256,17
1,0.236,18.27448046446991,18
1,0.236,19.396252256762263,19
1,0.236,18.477594986498826,20
1,0.236,20.17276990786337,21
1,0.236,20.728846734161454,22
1,0.236,22.53017199017199,23
2,0.295,46.641047244972555,0
2,0.295,47.84540459540458,1
2,0.295,46.55890263582572,2
2,0.295,47.77762237762237,3
2,0.295,47.75621746674377,4
2,0.295,46.60079945933983,5
2,0.295,46.961416844025536,6
2,0.295,47.63770142900577,7
2,0.295,46.405512965295564,8
2,0.295,44.70822316813621,9
2,0.295,40.1196621615932,10
2,0.295,42.23570334427478,11
2,0.295,42.13586280386281,12
2,0.295,40.52024111154546,13
2,0.295,42.003222967508684,14
2,0.295,39.20728973728974,15
2,0.295,39.08442140235244,16
2,0.295,39.85195345996236,17
2,0.295,37.57505616861273,18
2,0.295,38.568516123375055,19
2,0.295,39.35688662777094,20
2,0.295,40.274190620785824,21
2,0.295,42.226381449218785,22
2,0.295,44.45454469443601,23
3,0.291,48.64887839433295,0
3,0.291,48.291977101845525,1
3,0.291,47.28871128871129,2
3,0.291,48.07168831168831,3
3,0.291,47.18342935260228,4
3,0.291,45.541332375698836,5
3,0.291,48.462755505364186,6
3,0.291,48.57613212874082,7
3,0.291,47.285039804915584,8
3,0.291,44.3713382269904,9
3,0.291,43.260459662077054,10
3,0.291,41.76451491365776,11
3,0.291,43.78575477855477,12
3,0.291,42.401397136197126,13
3,0.291,42.925940059940054,14
3,0.291,41.140855810855804,15
3,0.291,39.96800666459976,16
3,0.291,39.543289715210896,17
3,0.291,38.43247018162104,18
3,0.291,37.21220464458777,19
3,0.291,41.040627378368754,20
3,0.291,44.93424793388429,21
3,0.291,43.13604493332753,22
3,0.291,45.17056126482213,23
4,0.266,41.64526431485279,0
4,0.266,44.598181818181814,1
4,0.266,43.686713286713285,2
4,0.266,43.98545454545454,3
4,0.266,41.47330316742081,4
4,0.266,42.67306360306361,5
4,0.266,42.11888111888113,6
4,0.266,43.55130434782608,7
4,0.266,40.32005878833649,8
4,0.266,37.58391277165477,9
4,0.266,38.98671266511266,10
4,0.266,36.73904023407472,11
4,0.266,36.917205556844365,12
4,0.266,34.18889494886452,13
4,0.266,36.15378152437107,14
4,0.266,34.31298959948643,15
4,0.266,32.19688271241213,16
4,0.266,30.592218995088437,17
4,0.266,26.986461615924547,18
4,0.266,23.145574684721865,19
4,0.266,33.15691484985603,20
4,0.266,35.201261601680756,21
4,0.266,36.86707301127991,22
4,0.266,39.914027431505694,23
5,0.157,6.440382340211926,0
5,0.157,6.63671266483891,1
5,0.157,6.560542507285539,2
5,0.157,7.231270778834561,3
5,0.157,7.653929937118119,4
5,0.157,8.63949685969728,5
5,0.157,9.483370037560864,6
5,0.157,8.659402149925443,7
5,0.157,8.32906237401295,8
5,0.157,7.919154635478849,9
5,0.157,7.697153874665194,10
5,0.157,7.588161849374852,11
5,0.157,7.757665434059649,12
