Location,LAT,LANG
"vakola bridge, Mumbai",19.0802177,72.8495157
"suman nagar road, Mumbai",19.053557,72.884367
"dindoshi flyover, Mumbai",19.1742352,72.8593629
"ceaser road, Mumbai",19.1280018,72.8434699
"mumbai-pune expressway, Mumbai",18.9964198,73.1324692
"bpt road, Mumbai",18.9989778,72.8550021
"wadala bridge, Mumbai",19.0160273,72.85884039999999
"chembur road, Mumbai",19.0208354,72.90442500000002
"pune - mumbai road, Mumbai",19.1792628,73.0225864
"sandhurst road, Mumbai",18.9614896,72.8399625
"aarey flyover, Mumbai",19.1653208,72.858337
"bandra flyover, Mumbai",19.1150205,72.84951339999999
"ghansoli flyover, Mumbai",19.1123059,73.0077845
"belapur road, Mumbai",19.1425582,73.0120312
"sclr flyover, Mumbai",19.0647603,72.89589289999999
"bhivandi rd, Mumbai",19.2251921,72.9955839
"pedder road, Mumbai",18.9714675,72.8095069
"pune-mumbai expressway, Mumbai",19.1792628,73.0225864
"mumbai-ahemdabad , Mumbai",18.9510043,72.838987
"naigaon bridge, Mumbai",19.3611502,72.8813016
"andheri kurla road, Mumbai",19.1171389,72.846563
"aarey road, Mumbai",19.1509735,72.8758099
"kopri bridge, Mumbai",19.1822842,72.9660413
"thakur complex flyover, Mumbai",19.1913532,72.8585039
"korum bridge, Mumbai",19.0759837,72.8776559
"nagar road, Mumbai",19.0205076,72.904443
"airoli flyover, Mumbai",19.1484372,73.000483
"gandhinagar flyover, Mumbai",19.1254163,72.9242804
"andheri flyover, Mumbai",19.1150205,72.84951339999999
"peddar road, Mumbai",18.9682454,72.80734989999999
"vakola flyover, Mumbai",19.0776627,72.8469172
"mumbai-pune highway, Mumbai",19.2014158,73.0007083
"grant road, Mumbai",18.9629992,72.8175748
"veera desai road, Mumbai",19.13329,72.83767
"vashi bridge, Mumbai",19.0624142,72.9734576
"mira road, Mumbai",19.2797513,72.8561635
"kherwadi flyover, Mumbai",19.1150205,72.84951339999999
"jari mari road, Mumbai",19.1553546,72.96727369999999
"military road, Mumbai",19.118297,72.8852007
"milan flyover, Mumbai",18.9512244,72.8317199
"jogeshwari flyover, Mumbai",19.1150205,72.84951339999999
"ndheri flyover, Mumbai",19.112994,72.85449419999999
"Western express highway, Mumbai",19.1524199,72.85655360000001
"thakur flyover, Mumbai",18.9512746,72.8318182
"thane-belapur road, Mumbai",19.1425582,73.0120312
"new link road, Mumbai",19.196216,72.827547
"s.v road, Mumbai",19.1371326,72.8464852
"matunga road, Mumbai",19.0283952,72.8467938
"chembur-santacruz link road, Mumbai",19.0625773,72.9012527
"ghorbunder road, Mumbai",19.2597254,72.9695364
"mahindra flyover, Mumbai",19.2059751,72.86559729999999
"andheri-kurla road, Mumbai",19.1171389,72.846563
"mumbai-pune road, Mumbai",19.1792628,73.0225864
"airoli road, Mumbai",19.1934877,72.9516519
"lbs road, Mumbai",19.0797781,72.886904
"currey road, Mumbai",18.9939983,72.8329925
"mohammed ali road, Mumbai",18.9558908,72.83285339999999
"nair road, Mumbai",18.9721282,72.8219606
"elphinstone road, Mumbai",19.0074271,72.8359006
"tulsi pipe road, Mumbai",19.0163387,72.84010239999999
"vashi highway, Mumbai",19.0685012,72.9966027
"pochkanwala road, Mumbai",19.0759837,72.8776559
"desai road, Mumbai",19.2513601,72.8604074
"airoli-thane road, Mumbai",19.1934877,72.9516519
"kharghar-juhu road, Mumbai",19.0848389,72.8324957
"sakinaka-kamani road, Mumbai",19.086501,72.888839
"chedda nagar flyover, Mumbai",19.0689601,72.9047477
"ghodbunder road, Mumbai",19.2597254,72.9695364
"malad-kandivali link road, Mumbai",19.20083,72.838758
"kalina flyover, Mumbai",19.0738862,72.87998759999999
"santactuz flyover, Mumbai",19.1150205,72.84951339999999
"old mumbai-pune road, Mumbai",18.542296,73.851636
"airoli bridge, Mumbai",19.1514492,72.9762059
"sv road, Mumbai",19.1371326,72.8464852
"mum-pune expressway, Mumbai",18.7693415,73.4042644
"belapur flyover, Mumbai",19.0244212,73.0392803
"seepz road, Mumbai",19.1260269,72.872871
"kurla bridge, Mumbai",19.1350833,72.8489089
"mulund-airoli road, Mumbai",19.148657,72.99065999999999
"amar mahal flyover, Mumbai",19.0645719,72.8996193
"panvel highway, Mumbai",18.9907291,73.1214988
"wadala road, Mumbai",19.0160273,72.85884039999999
"gundawli bridge, Mumbai",19.1350833,72.8489089
"worli sea face, Mumbai",19.0091432,72.8157283
"irla road, Mumbai",19.1078354,72.8421528
"caesar roa, Mumbai",19.0759837,72.8776559
