LOCATION,LAT,LNG,LAT_NEAR,LNG_NEAR
"vakola bridge, Mumbai",19.0802177,72.8495157,19.084052,72.84597
"suman nagar road, Mumbai",19.053557,72.884367,19.054049,72.881361
"dindoshi flyover, Mumbai",19.1742352,72.8593629,19.17451,72.859091
"ceaser road, Mumbai",19.1280018,72.8434699,19.127976,72.84408
"mumbai-pune expressway, Mumbai",18.9964198,73.1324692,18.996091,73.127751
"bpt road, Mumbai",18.9989778,72.8550021,19.000324,72.853659
"wadala bridge, Mumbai",19.0160273,72.8588404,19.013655,72.855231
"chembur road, Mumbai",19.0208354,72.904425,19.019828,72.907678
"pune - mumbai road, Mumbai",19.1792628,73.0225864,19.179518,73.02249
"sandhurst road, Mumbai",18.9614896,72.8399625,18.962489,72.836312
"aarey flyover, Mumbai",19.1653208,72.858337,19.166182,72.858746
"bandra flyover, Mumbai",19.1150205,72.8495134,19.11168,72.849467
"ghansoli flyover, Mumbai",19.1123059,73.0077845,19.114209,73.006241
"belapur road, Mumbai",19.1425582,73.0120312,19.145422,73.00997
"sclr flyover, Mumbai",19.0647603,72.8958929,19.062857,72.898144
"bhivandi rd, Mumbai",19.2251921,72.9955839,19.223356,72.992249
"pedder road, Mumbai",18.9714675,72.8095069,18.973047,72.809374
"pune-mumbai expressway, Mumbai",19.1792628,73.0225864,19.179518,73.02249
"mumbai-ahemdabad , Mumbai",18.9510043,72.838987,18.946677,72.835358
"andheri kurla road, Mumbai",19.1171389,72.846563,19.114485,72.84749
"aarey road, Mumbai",19.1509735,72.8758099,19.151824,72.871753
"kopri bridge, Mumbai",19.1822842,72.9660413,19.182709,72.965688
"thakur complex flyover, Mumbai",19.1913532,72.8585039,19.188274,72.859669
"korum bridge, Mumbai",19.0759837,72.8776559,19.075357,72.878716
"nagar road, Mumbai",19.0205076,72.904443,19.019828,72.907678
"airoli flyover, Mumbai",19.1484372,73.000483,19.148135,72.998887
"gandhinagar flyover, Mumbai",19.1254163,72.9242804,19.129507,72.925716
"andheri flyover, Mumbai",19.1150205,72.8495134,19.11168,72.849467
"peddar road, Mumbai",18.9682454,72.8073499,18.964068,72.808221
"vakola flyover, Mumbai",19.0776627,72.8469172,19.073156,72.843868
"mumbai-pune highway, Mumbai",19.2014158,73.0007083,19.203398,73.001555
"grant road, Mumbai",18.9629992,72.8175748,18.964242,72.821074
"veera desai road, Mumbai",19.13329,72.83767,19.129036,72.837807
"mira road, Mumbai",19.2797513,72.8561635,19.281611,72.858482
"kherwadi flyover, Mumbai",19.1150205,72.8495134,19.11168,72.849467
"jari mari road, Mumbai",19.1553546,72.9672737,19.153867,72.963929
"military road, Mumbai",19.118297,72.8852007,19.11728,72.88718
"milan flyover, Mumbai",18.9512244,72.8317199,18.94979,72.828848
"jogeshwari flyover, Mumbai",19.1150205,72.8495134,19.11168,72.849467
"ndheri flyover, Mumbai",19.112994,72.8544942,19.113837,72.852516
"Western express highway, Mumbai",19.1524199,72.8565536,19.153684,72.85687
"thakur flyover, Mumbai",18.9512746,72.8318182,18.94979,72.828848
"thane-belapur road, Mumbai",19.1425582,73.0120312,19.145422,73.00997
"new link road, Mumbai",19.196216,72.827547,19.196397,72.825221
"s.v road, Mumbai",19.1371326,72.8464852,19.137922,72.845904
"matunga road, Mumbai",19.0283952,72.8467938,19.027731,72.846245
"chembur-santacruz link road, Mumbai",19.0625773,72.9012527,19.060273,72.904725
"ghorbunder road, Mumbai",19.2597254,72.9695364,19.262808,72.968564
"mahindra flyover, Mumbai",19.2059751,72.8655973,19.201572,72.861793
"andheri-kurla road, Mumbai",19.1171389,72.846563,19.114485,72.84749
"mumbai-pune road, Mumbai",19.1792628,73.0225864,19.179518,73.02249
"airoli road, Mumbai",19.1934877,72.9516519,19.194971,72.949359
"lbs road, Mumbai",19.0797781,72.886904,19.077082,72.88598
"currey road, Mumbai",18.9939983,72.8329925,18.98955,72.835729
"mohammed ali road, Mumbai",18.9558908,72.8328534,18.95646,72.82848
"nair road, Mumbai",18.9721282,72.8219606,18.968733,72.822343
"elphinstone road, Mumbai",19.0074271,72.8359006,19.00981,72.832162
"tulsi pipe road, Mumbai",19.0163387,72.8401024,19.014912,72.839022
"vashi highway, Mumbai",19.0685012,72.9966027,19.070884,72.997574
"pochkanwala road, Mumbai",19.0759837,72.8776559,19.075357,72.878716
"desai road, Mumbai",19.2513601,72.8604074,19.255174,72.86094
"airoli-thane road, Mumbai",19.1934877,72.9516519,19.194971,72.949359
"kharghar-juhu road, Mumbai",19.0848389,72.8324957,19.086025,72.828033
"sakinaka-kamani road, Mumbai",19.086501,72.888839,19.084795,72.890206
"chedda nagar flyover, Mumbai",19.0689601,72.9047477,19.069309,72.904704
"ghodbunder road, Mumbai",19.2597254,72.9695364,19.262808,72.968564
"malad-kandivali link road, Mumbai",19.20083,72.838758,19.200555,72.834046
"kalina flyover, Mumbai",19.0738862,72.8799876,19.075357,72.878716
"santactuz flyover, Mumbai",19.1150205,72.8495134,19.11168,72.849467
"old mumbai-pune road, Mumbai",18.542296,73.851636,18.544046,73.851601
"sv road, Mumbai",19.1371326,72.8464852,19.137922,72.845904
"belapur flyover, Mumbai",19.0244212,73.0392803,19.025615,73.041885
"seepz road, Mumbai",19.1260269,72.872871,19.125929,72.873115
"kurla bridge, Mumbai",19.1350833,72.8489089,19.137922,72.845904
"mulund-airoli road, Mumbai",19.148657,72.99066,19.14451,72.994538
"amar mahal flyover, Mumbai",19.0645719,72.8996193,19.062857,72.898144
"panvel highway, Mumbai",18.9907291,73.1214988,18.988543,73.121323
"wadala road, Mumbai",19.0160273,72.8588404,19.013655,72.855231
"gundawli bridge, Mumbai",19.1350833,72.8489089,19.137922,72.845904
"worli sea face, Mumbai",19.0091432,72.8157283,19.005959,72.817934
"irla road, Mumbai",19.1078354,72.8421528,19.109197,72.840615
"caesar road, Mumbai",19.0759837,72.8776559,19.075357,72.878716
