NarimanPoint 	[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [12.974077070491322, 346], [0, 0], [0, 0], [0, 0], [17.29946462103511, 684], [0, 0], [29.75744681000009, 456]]
BallardEstate 	[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [13.364225450772732, 66], [13.660806720913794, 58], [0, 0], [0, 0], [0, 0], [13.497810653691477, 188]]
KalbaDevi 	    [[0, 0], [0, 0], [0, 0], [0, 0], [20.491202837789476, 228], [0, 0], [0, 0], [16.077427144548256, 228], [15.193406391864135, 1266], [0, 0], [0, 0], [0, 0]]
WadiBandar 	    [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [16.257386238300967, 206], [0, 0], [0, 0], [14.579993833704538, 220]]
MaulanaAzadRd 	[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [16.245526164062504, 128], [0, 0], [16.290481928892532, 912], [0, 0]]
HughesRd 		[[19.537027727254912, 102], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [22.533235509999987, 180], [0, 0], [0, 0], [17.186208876937176, 382], [19.717151355877206, 114], [19.74343036160379, 106]]
PedderRd 		[[19.40738225625734, 684], [0, 0], [0, 0], [0, 0], [0, 0], [18.897350733142854, 70], [0, 0], [0, 0], [15.067502277251567, 644], [0, 0], [0, 0], [0, 0]]
TulsiWadi 		[[0, 0], [0, 0], [0, 0], [0, 0], [15.309189308701765, 456], [14.885204363544451, 450], [0, 0], [23.456912085877168, 456], [15.315921491947375, 456], [0, 0], [0, 0], [0, 0]]
KalaChowky 	[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [9.635024385745602, 228], [10.610431204930217, 430], [0, 0]]
NehruNagar 	[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [23.455927234015157, 132], [0, 0], [23.40829194978512, 1210], [23.512013325656564, 198], [0, 0]]
PrabhaDevi 	[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [16.370641741535096, 228], [0, 0], [0, 0], [13.241309966353429, 614], [13.249790736122458, 196], [0, 0]]
DadarWest 	[[0, 0], [0, 0], [0, 0], [0, 0], [20.553970364320186, 456], [20.23644651948199, 444], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
KatrakRd 	[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [7.3399466780452345, 442], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
MatungaWest 	[[0, 0], [0, 0], [0, 0], [0, 0], [17.015801148070167, 456], [0, 0], [0, 0], [0, 0], [16.981001119298238, 228], [0, 0], [0, 0], [0, 0]]
GuruTeghNagar 	[[0, 0], [0, 0], [0, 0], [0, 0], [12.376385195675669, 148], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
SionWest 	[[0, 0], [0, 0], [0, 0], [0, 0], [14.106975482432437, 222], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
