SER,LAT1,LNG1,LAT2,LNG2
101,18.985979,72.842415,18.984843,72.842265
102,18.98851,72.845328,18.989499,72.846675
103,18.992144,72.849907,18.99308,72.851025
104,18.995918,72.852686,18.9969,72.852956
105,18.998338,72.853211,18.999139,72.853412
106,18.99988,72.853681,18.99884,72.853442
107,19.004161,72.853844,19.006288,72.853953
108,19.009562,72.854195,19.008717,72.854141
109,19.008928,72.854077,19.009622,72.854139
110,18.980134,72.829933,18.980302,72.82931
111,18.980234,72.829833,18.980019,72.830694
112,18.979434,72.832015,18.979967,72.831963
113,18.980424,72.832042,18.979926,72.832075
114,18.981645,72.8319,18.986078,72.831736
115,18.986806,72.831709,18.98938,72.831597
116,18.991759,72.831597,18.99007,72.831669
117,18.991407,72.831492,18.993395,72.831401
118,18.995505,72.831283,18.998777,72.831127
119,18.998797,72.831253,18.994911,72.831439
120,18.999121,72.831139,19.000509,72.831064
121,18.959122,72.831638,18.960396,72.831687
122,18.961072,72.831848,18.963785,72.831955
123,18.963863,72.832194,18.961721,72.832099
124,18.966878,72.832614,18.968138,72.832635
125,18.968265,72.832735,18.967222,72.832733
126,18.979472,72.833894,18.982138,72.834621
127,18.982471,72.834989,18.980244,72.834313
128,18.984809,72.835491,18.983471,72.835265
129,18.988133,72.835669,18.989542,72.83567
130,18.990906,72.835803,18.988778,72.835943
131,19.002742,72.81218,19.010732,72.815844
132,19.013612,72.816962,19.006101,72.813952
133,18.990007,72.81385,18.99601,72.815905
134,18.996522,72.816297,18.989613,72.813998
135,19.002768,72.815697,19.008386,72.819078
136,19.010575,72.820358,19.013062,72.823642
137,19.012794,72.824339,19.010065,72.820214
138,19.000301,72.818103,19.002358,72.819301
139,19.0029,72.819712,18.99967,72.817877
140,18.995909,72.818695,18.998045,72.817552
141,18.999088,72.817128,19.002978,72.815772
142,18.998133,72.817624,18.994336,72.819641
143,18.971908,72.804837,18.975329,72.80665
144,18.975723,72.806945,18.976453,72.808541
145,18.977016,72.809351,18.977939,72.810888
146,18.977686,72.810357,18.976666,72.809241
147,18.972919,72.814565,18.977456,72.811422
148,18.977287,72.811602,18.973629,72.814115
149,18.978738,72.811634,18.982808,72.814837
150,18.984498,72.814896,18.986961,72.813813
151,18.986986,72.813963,18.984003,72.815195
152,18.993372,72.814433,18.995662,72.815726
153,18.995411,72.815846,18.993158,72.814568
154,19.013301,72.824133,19.015274,72.827116
155,19.016564,72.829322,19.018519,72.831095
156,19.020469,72.832769,19.018119,72.830916
157,19.021543,72.833507,19.025587,72.835795
158,19.008952,72.833002,19.011645,72.835496
159,19.01151,72.835714,19.005402,72.831307
160,19.043978,72.825712,19.048402,72.831144
161,19.049722,72.83289,19.044401,72.827129
162,19.045914,72.838632,19.042665,72.840256
163,19.041293,72.8409,19.037774,72.842216
164,19.036052,72.84239,19.031469,72.842065
165,19.030354,72.841831,19.025223,72.840681
166,19.017247,72.835232,19.022085,72.837804
167,19.18754,72.83563,19.195212,72.833622
168,19.240339,72.845878,19.241357,72.844497
169,19.238071,72.854763,19.241175,72.854441
170,19.237909,72.855154,19.2378,72.858714
171,19.237195,72.86296,19.238846,72.860767
172,19.239287,72.863475,19.244058,72.864299
173,19.24448,72.863372,19.245919,72.861222
174,19.248553,72.862482,19.252289,72.864165
175,19.258437,72.858668,19.256895,72.867156
176,19.249191,72.845522,19.255788,72.849413
177,19.230259,72.844154,19.230102,72.841294
178,19.229212,72.843996,19.229992,72.841119
179,19.2265,72.840766,19.229883,72.84091
180,19.230832,72.837601,19.230159,72.840604
181,19.230755,72.849514,19.230497,72.848001
182,19.230992,72.854761,19.230792,72.856503
183,19.231246,72.856723,19.236441,72.857656
184,19.243628,72.860005,19.24632,72.86122
185,19.25435,72.866461,19.255925,72.869213
186,19.241895,72.852459,19.243495,72.851788
187,19.238127,72.85476,19.24141,72.854438
188,19.230752,72.840786,19.236848,72.840831
189,19.238357,72.841627,19.242841,72.845042
190,19.23066,72.840812,19.23066,72.840812
191,19.233342,72.8407,19.230286,72.840977
192,19.236538,72.840728,19.239245,72.842272
193,19.142192,72.831406,19.146056,72.831112
194,19.147926,72.831243,19.149109,72.831349
195,19.148976,72.831228,19.149078,72.829733
196,19.145817,72.831018,19.145881,72.829257
197,19.14611,72.829152,19.146865,72.828839
198,19.146898,72.828565,19.145993,72.82595
199,19.143289,72.8313,19.145681,72.831114
200,19.141832,72.831269,19.141733,72.828762
